name,minutes,slap,kick,ban,rename,admin_chat
95 | HakeRs,580,0,0,0,0,0
< gHo$T R1D3r=  >,483,2,0,1,0,1
Altair Ibn La Ahad,0,0,0,0,0,0
BaReS,1332,0,0,0,0,0
BaRoN,157,0,0,2,1,0
DS || DaWaWeeN,223,0,0,0,0,0
DS || Miladiii,599,0,0,0,0,0
DS || MuSTaFa,0,0,0,0,0,0
DS || fReak*,60,0,0,0,0,0
GuNsNGloRy | AmmaR,554,3,0,0,1,1
J 4 C K | R 3 4 C H 3 R,54,0,0,0,0,0
LeaNuX || MeMo,979,0,0,0,1,2
N00bie || (0-0),31,0,0,0,0,0
N00bie || MOUSE?,462,0,0,0,0,0
N00bie || WOLF,0,0,0,0,0,0
Noor,0,0,0,0,0,0
R()CK~KI||3R,1227,1,2,0,0,0
US-B,853,5,1,1,0,4
anouar,0,0,0,0,0,0
chani,1039,4,1,0,0,3
s@bin@,411,0,0,0,0,0
what the,617,0,0,0,0,0
