name,minutes,slap,kick,ban,rename,admin_chat
95 | HakeRs,598,0,0,0,0,0
< gHo$T R1D3r=  >,380,2,0,1,0,1
Altair Ibn La Ahad,0,0,0,0,0,0
BaReS,797,0,0,0,0,0
BaRoN,120,0,0,2,1,0
DS || DaWaWeeN,169,0,0,0,0,0
DS || Miladiii,235,0,0,0,0,0
DS || MuSTaFa,0,0,0,0,0,0
DS || fReak*,0,0,0,0,0,0
GuNsNGloRy | AmmaR,0,3,0,0,1,1
J 4 C K | R 3 4 C H 3 R,171,0,0,0,0,0
LeaNuX || MeMo,0,0,0,0,1,2
N00bie || (0-0),0,0,0,0,0,0
N00bie || MOUSE?,25,0,0,0,0,0
N00bie || WOLF,31,0,0,0,0,0
Noor,0,0,0,0,0,0
R()CK~KI||3R,739,1,2,0,0,0
US-B,478,5,1,1,0,4
anouar,0,0,0,0,0,0
chani,1562,4,1,0,0,3
s@bin@,210,0,0,0,0,0
what the,488,0,0,0,0,0
