name,minutes,slap,kick,ban,rename,admin_chat
95 | HakeRs,456,0,0,0,0,0
< gHo$T R1D3r=  >,343,2,0,1,0,1
Altair Ibn La Ahad,0,0,0,0,0,0
BaReS,965,0,0,0,0,0
BaRoN,162,0,0,2,1,0
DS || DaWaWeeN,262,0,0,0,0,0
DS || Miladiii,0,0,0,0,0,0
DS || MuSTaFa,0,0,0,0,0,0
DS || fReak*,0,0,0,0,0,0
GuNsNGloRy | AmmaR,0,3,0,0,1,1
J 4 C K | R 3 4 C H 3 R,121,0,0,0,0,0
LeaNuX || MeMo,0,0,0,0,1,2
N00bie || (0-0),0,0,0,0,0,0
N00bie || MOUSE?,25,0,0,0,0,0
N00bie || WOLF,31,0,0,0,0,0
Noor,0,0,0,0,0,0
R()CK~KI||3R,531,1,2,0,0,0
US-B,597,5,1,1,0,4
anouar,0,0,0,0,0,0
chani,1587,4,1,0,0,3
s@bin@,344,0,0,0,0,0
what the,642,0,0,0,0,0
