name,minutes,slap,kick,ban,rename,admin_chat
95 | HakeRs,469,0,0,0,0,0
< gHo$T R1D3r=  >,354,2,0,1,0,1
Altair Ibn La Ahad,0,0,0,0,0,0
BaReS,383,0,0,0,0,0
BaRoN,354,0,0,2,1,0
DS || DaWaWeeN,394,0,0,0,0,0
DS || Miladiii,0,0,0,0,0,0
DS || MuSTaFa,0,0,0,0,0,0
DS || fReak*,16,0,0,0,0,0
GuNsNGloRy | AmmaR,920,3,0,0,1,1
J 4 C K | R 3 4 C H 3 R,0,0,0,0,0,0
LeaNuX || MeMo,0,0,0,0,1,2
N00bie || (0-0),0,0,0,0,0,0
N00bie || MOUSE?,0,0,0,0,0,0
N00bie || WOLF,0,0,0,0,0,0
Noor,0,0,0,0,0,0
R()CK~KI||3R,986,1,2,0,0,0
US-B,534,5,1,1,0,4
anouar,0,0,0,0,0,0
chani,1210,4,1,0,0,3
s@bin@,545,0,0,0,0,0
what the,1144,0,0,0,0,0
